zhenji,fdepth
震级,震源深度
5.9,20.0
3.6,15.0
3.4,13.0
3.4,10.0
5.1,100.0
3.0,11.0
3.1,10.0
4.0,100.0
3.2,11.0
3.2,11.0
3.0,18.0
3.7,10.0
4.4,10.0
3.0,10.0
5.2,10.0
3.2,10.0
4.3,10.0
3.4,10.0
5.9,320.0
6.2,10.0
5.8,10.0
3.3,9.0
6.1,10.0
5.1,10.0
3.0,10.0
5.8,10.0
3.4,22.0
5.0,10.0
3.1,90.0
5.3,20.0
4.8,20.0
3.0,10.0
4.5,34.0
4.7,25.0
5.3,100.0
3.9,10.0
3.1,19.0
4.1,10.0
3.0,10.0
5.6,10.0
4.9,7.0
5.7,10.0
4.5,10.0
5.7,10.0
4.9,8.0
4.2,10.0
5.1,25.0
4.2,10.0
5.6,530.0
3.0,11.0
5.9,20.0
3.6,15.0
3.4,13.0
3.4,10.0
5.1,100.0
3.0,11.0
3.1,10.0
4.0,100.0
3.2,11.0
3.2,11.0
3.0,18.0
3.7,10.0
4.4,10.0
3.0,10.0
5.2,10.0
3.2,10.0
4.3,10.0
3.4,10.0
5.9,320.0
6.2,10.0
5.8,10.0
3.3,9.0
6.1,10.0
5.1,10.0
3.0,10.0
5.8,10.0
3.4,22.0
5.0,10.0
3.1,90.0
5.3,20.0
4.8,20.0
3.0,10.0
4.5,34.0
4.7,25.0
5.3,100.0
3.9,10.0
3.1,19.0
4.1,10.0
3.0,10.0
5.6,10.0
4.9,7.0
5.7,10.0
4.5,10.0
5.7,10.0
4.9,8.0
4.2,10.0
5.1,25.0
4.2,10.0
5.6,530.0
3.0,11.0
6.2,30.0
5.9,10.0
4.1,10.0
4.5,10.0
5.9,10.0
4.4,12.0
5.5,100.0
5.5,10.0
5.0,20.0
3.4,10.0
3.3,16.0
5.2,50.0
5.4,140.0
3.2,8.0
3.0,10.0
3.1,8.0
4.7,22.0
3.1,15.0
3.2,14.0
3.9,23.0
5.5,10.0
3.2,12.0
5.4,10.0
4.4,11.0
5.7,170.0
3.5,10.0
3.7,10.0
3.3,15.0
3.8,10.0
3.0,10.0
3.3,12.0
4.4,13.0
3.1,8.0
3.1,20.0
3.0,8.0
5.4,10.0
